Source,satW,Pc (Pa),scaled Pc
MICP,0.083033,24358,3.73E+04
MICP,0.086374,22389,3.43E+04
MICP,0.091052,19736,3.02E+04
MICP,0.096398,17438,2.67E+04
MICP,0.10241,15441,2.36E+04
MICP,0.10976,13521,2.07E+04
MICP,0.11979,11636,1.78E+04
MICP,0.13643,9662.5,1.48E+04
MICP,0.16077,8105.3,1.24E+04
MICP,0.22079,6434,9.85E+03
MICP,0.3015,5533.5,8.47E+03
MICP,0.38474,5124.9,7.85E+03
MICP,0.45286,4905.2,7.51E+03
MICP,0.52144,4708.3,7.21E+03
MICP,0.60852,4520.8,6.92E+03
MICP,0.68199,4354.3,6.67E+03
MICP,0.73963,4203.8,6.44E+03
MICP,0.82,3956.3,6.06E+03
MICP,0.89268,3667.8,5.62E+03
MICP,0.95648,2991.5,4.58E+03
MICP,0.98884,1993.4,3.05E+03
MICP,1,186.88,2.86E+02
Raeesi,0.11005,17733,2.72E+04
Raeesi,0.11643,15199,2.33E+04
Raeesi,0.12839,12708,1.95E+04
Raeesi,0.15152,10195,1.56E+04
Raeesi,0.16507,9177.7,1.41E+04
Raeesi,0.1866,8222.6,1.26E+04
Raeesi,0.2201,7163.6,1.10E+04
Raeesi,0.29107,6208.5,9.51E+03
Raeesi,0.35566,5710.1,8.74E+03
Raeesi,0.43939,5191,7.95E+03
Raeesi,0.58692,4671.9,7.15E+03
Raeesi,0.67145,4422.8,6.77E+03
Raeesi,0.77033,4194.4,6.42E+03
Raeesi,0.93142,3737.5,5.72E+03
Raeesi,0.97209,3176.9,4.86E+03
Raeesi,0.98246,2678.6,4.10E+03
Raeesi,0.99043,2201,3.37E+03
Raeesi,0.99601,1702.7,2.61E+03
Raeesi,0.99761,1225.1,1.88E+03
Raeesi,0.99841,705.98,1.08E+03
Raeesi,0.99841,207.64,3.18E+02
